track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Funk HH RB GM/Funk/113 Funk 08 B.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 02 F4.mid,train,train,train,test,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 02a.mid,test,train,train,train,train
Mega_Pack_GM/Jazz GM/Funky/123 Funky Jazz 01c.mid,train,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Funk/090 16th Funk 2 Crash.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/125 Funk 19 A.mid,valid,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/100 Funk 13 C.mid,train,train,train,valid,train
Mega_Pack_GM/Fusion GM/Preview Files/Funk/116 Linear Funk 01.mid,valid,train,train,train,train
Mega_Pack_GM/Jazz GM/Bonus/120 Funky 16th Triplet Feel.mid,train,train,train,test,valid
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride F4.mid,train,train,test,train,test
Mega_Pack_GM/Electronic GM/Breakbeat/069 G-Funk 03 8-Bar.mid,train,train,test,test,train
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 15 A.mid,train,valid,train,valid,train
Mega_Pack_GM/Fusion GM/Funk/116 Linear Funk 01 C.mid,train,train,train,train,train
Mega_Pack_GM/Variety Pack GM/Funk/102 Funk 8th Feel 2.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 F4.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/120 Funk 16 B.mid,test,train,test,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/128 Funk 06 B.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/072 Funk 17 C.mid,train,train,valid,test,valid
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD C.mid,train,train,train,train,valid
Mega_Pack_GM/Fusion GM/Latin/110 Funky Songo 01 B.mid,train,train,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/096 Funk 14 C.mid,train,train,train,train,train
Mega_Pack_GM/Retro Funk GM/098 FunkyD/Grooves/098 FunkyD Ride D.mid,train,valid,train,train,test
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 01.mid,train,test,train,train,train
Mega_Pack_GM/Jazz GM/Funky/120 Funky Jazz 03c.mid,train,valid,train,train,train
Mega_Pack_GM/Rock 2 GM/Song 04 4-4 074 BPM/Grooves/074 Bridge Funk Crash.mid,train,train,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 02 F3.mid,train,valid,train,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/097 Funk 02 B.mid,train,valid,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/116 Funk 18 B.mid,train,valid,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/116 Funk 18 A.mid,train,valid,train,train,train
Mega_Pack_GM/Fusion GM/Funk/085 N.O. Funk 01 F3.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/102 Funk 11.mid,train,train,valid,train,valid
Mega_Pack_GM/Funk HH RB GM/Funk/112 Funk 01b.mid,train,train,train,train,train
Mega_Pack_GM/Funk HH RB GM/Funk/089 Funk 07 A.mid,train,train,train,valid,train
Mega_Pack_GM/Fusion GM/Funk/140 Linear Funk 01 F7.mid,train,train,train,train,train
