track_path,split0,split1,split2,split3,split4
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 02/100 Rock 02 16ths A.mid,train,test,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 07 Side Stick/100 Rock 07 8ths Stick.mid,valid,train,test,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 13 8ths Basic/120 Rock 13 8ths Basic.mid,train,train,train,test,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 11 8ths/120 Rock 11 8ths Basic Crash.mid,test,test,train,train,valid
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 06 8ths Basic/120 Rock 06 8ths Basic.mid,train,train,train,test,test
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock D04/140 Rock D04 QTR Driving.mid,test,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 06 8ths Basic/120 Rock 06 8ths Basic A.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 04 Side Stick/100 Rock 04 8ths Stick B.mid,train,train,train,test,train
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock 17/140 Rock 17 QTR Driving Crash.mid,train,train,train,train,valid
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 01 Side Stick/100 Rock 01 8ths Stick Crash.mid,train,train,train,train,train
Mega_Pack_GM/Twisted GM/Rock Grooves/108 Rock 8th Feel/108 Rock Snare 8th 1 Crash.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock D02 8ths Basic/130 Rock D02 8ths Basic B.mid,train,train,train,test,valid
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Straight/120 Rock 19/120 Rock 19 8ths 8-Bar.mid,train,train,train,test,train
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock 11/140 Rock 11 QTR Driving Crash.mid,test,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 11/100 Rock 11 16ths Crash.mid,train,train,valid,test,train
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 09 Side Stick/100 Rock 09 8ths Stick A.mid,train,train,train,train,train
Mega_Pack_GM/Twisted GM/Rock Grooves/080 Rock Toms/080 Rock Toms 1.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 10 Side Stick/100 Rock 10 8ths Stick A.mid,valid,train,train,train,test
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 05 Side Stick/100 Rock 05 8ths Stick B.mid,train,test,test,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Floor Tom Grooves/Floor Tom Rock 03/120 Rock 03 FT.mid,train,train,train,train,test
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 14/100 Rock 14 16ths A.mid,train,train,test,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 06 8ths Basic/120 Rock 06 8ths Basic Crash.mid,train,valid,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 18/100 Rock C0102 16ths Crash.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Straight/120 Rock 19/120 Rock 19 Ride 8ths 8-Bar.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 07 8ths/130 Rock 07 8ths B.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 17 8ths/120 Rock 17 8ths Basic.mid,train,train,test,test,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 02c.mid,train,train,valid,test,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 11/100 Rock 11 16ths A.mid,valid,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 04 8ths Basic/120 Rock 04 8ths Basic.mid,test,test,train,test,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 16/100 Rock 16 16ths.mid,train,train,valid,valid,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock 02a.mid,train,test,train,train,train
Mega_Pack_GM/Variety Pack GM/Rock/135 Rock Shuffle Ride.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 04/100 Rock 04 16ths Crash.mid,train,train,train,valid,train
Mega_Pack_GM/Variety Pack GM/Rock/120 Rock Basic 2 Ride.mid,train,valid,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock 02/140 Rock 02 8ths Driving.mid,train,train,train,train,valid
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 02 8ths/120 Rock 02 8ths Basic.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock 18/140 Rock 18 QTR Driving.mid,train,train,train,train,test
Mega_Pack_GM/Rock Essentials 1 GM/Floor Tom Grooves/Floor Tom Rock 05/120 Rock 05 FT.mid,train,train,train,valid,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 07 8ths/130 Rock 07 8ths Crash.mid,train,train,valid,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 13 8ths Basic/120 Rock 13 8ths Basic Crash.mid,train,test,train,train,train
Mega_Pack_GM/Power Rock GM/Preview Files/Power Rock 080 Song 06.mid,train,train,test,train,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 09/100 Rock 09 16ths B Mixed.mid,train,train,test,valid,test
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Straight/120 Rock 19/120 Rock 19 8ths Stick A.mid,train,train,valid,train,valid
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock D01 8ths B/130 Rock D01 8ths Basic.mid,test,valid,train,train,train
Mega_Pack_GM/Power Rock GM/Preview Files/Power Rock 114 Song 04.mid,train,train,train,valid,train
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 14/100 Rock 14 16ths B.mid,valid,train,train,valid,valid
Mega_Pack_GM/Rock Essentials 1 GM/16th Rock/16th Rock 17/100 Rock 17 16ths B.mid,test,valid,train,train,train
Mega_Pack_GM/Rock Essentials 2 GM/4-4 Grooves/Straight/120 Rock 19/120 Rock 19 Ride 8ths Crash.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 18 8ths/120 Rock 18 8ths.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 12 8ths Basic/120 Rock 12 8ths Basic.mid,train,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Side Stick/Rock 01 Side Stick/100 Rock 01 8ths Stick B.mid,train,valid,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/Quarter Rock Driving/Driving Rock 11/140 Rock 11 QTR Driving Bell.mid,train,train,train,test,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 10 8ths/120 Rock 10 8ths A.mid,valid,train,train,train,train
Mega_Pack_GM/Rock Essentials 1 GM/8th Rock/Rock 04 8ths Basic/120 Rock 04 8ths Basic B.mid,train,train,train,train,train
Mega_Pack_GM/Jazz GM/Fusion/142 Jazz Rock Groove 02.mid,train,test,test,train,train
